Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2012-05-29,396753.0,117815.0,176721.0,79214.0,1848.0,21762.0,41689.0,68710.0,27679.0,36637.0,22610.0,39931.0,364727.0,359261.0,32026.0,37492.0
2012-05-22,396868.0,114550.0,191056.0,83214.0,1834.0,19970.0,45395.0,64948.0,27319.0,40286.0,21844.0,34971.0,365705.0,361942.0,31163.0,34926.0
2012-05-15,387515.0,107330.0,196624.0,84709.0,1925.0,19783.0,50739.0,59970.0,23915.0,38899.0,21145.0,29340.0,354715.0,352702.0,32800.0,34813.0
2012-05-08,382156.0,92044.0,207038.0,87056.0,2136.0,19621.0,64056.0,51895.0,22305.0,33521.0,22817.0,27912.0,346515.0,353724.0,35641.0,28432.0
2012-05-01,364638.0,70300.0,206605.0,89891.0,2053.0,15571.0,71223.0,46954.0,21214.0,31839.0,20046.0,26941.0,326979.0,339384.0,37659.0,25254.0
2012-04-24,377931.0,64449.0,226423.0,92637.0,2017.0,13335.0,78218.0,37292.0,22778.0,33155.0,19679.0,31007.0,335579.0,352531.0,42352.0,25400.0
2012-04-17,388560.0,59895.0,233292.0,96154.0,2172.0,17309.0,81570.0,35969.0,22624.0,36594.0,20287.0,32389.0,346535.0,364042.0,42025.0,24518.0
2012-04-10,389320.0,62332.0,233293.0,96565.0,1978.0,18840.0,84185.0,38191.0,21498.0,33516.0,20310.0,30155.0,347091.0,364265.0,42229.0,25055.0
2012-04-03,362335.0,64121.0,216639.0,93136.0,2331.0,19249.0,70471.0,40124.0,19401.0,33014.0,18853.0,21294.0,320686.0,337891.0,41649.0,24444.0
2012-03-27,365795.0,68000.0,213572.0,98180.0,1994.0,17446.0,67969.0,46186.0,19611.0,31761.0,17358.0,23962.0,326929.0,340129.0,38866.0,25666.0
